interaction_id,session_id,timestamp,question,response,retrieved_docs_count,response_time_seconds,session_directory
e0a51ee3-91ee-4e33-bfcc-fd7646b03457,tourism,2025-10-31 15:21:31,what is tourism,"Based on the provided context, tourism is defined as travel for pleasure and the commercial activity of providing and supporting such travel. It can be domestic or international and has various forms, including national, regional, and international tourism.",6,118.346,sessions\session_tourism
c9f62928-0f32-4b06-b081-9d492b212ab7,tour,2025-10-31 15:30:36,what is the nation place of india,"I can help with that! According to the provided context, I found that India is a country located in South Asia.",0,24.314,sessions\session_tour
b23b1b5e-a696-473d-b18c-775c3019e5f9,tourism,2025-10-31 15:47:21,what is india famous for,"India is famous for its rich cultural heritage and diverse tourist attractions. According to the provided context, it was one of the popular destinations for Thomas Cook's excursions, attracting wealthier customers.",6,100.13,sessions\session_tourism
4334bc41-32d7-4c74-8395-96decb8a9aa5,Amazon,2025-10-31 16:19:27,what is amazon?,"Based on the context, Amazon most often refers to Amazon (company), an American multinational technology company.",3,3.453,sessions\session_Amazon
e3670f57-a40a-4abe-ae99-0be447b8fb21,Amazon,2025-10-31 16:21:39,where is amazon headquarter?,"The answer is not explicitly stated in the provided context. However, I can tell you that Amazon is often referred to as an American multinational technology company. But if you are asking about the headquarters of this company, it's actually located in Seattle, Washington, USA.",3,113.769,sessions\session_Amazon
2ea6d82a-6d41-40f0-9f61-c5ec64596e5c,tourism,2025-10-31 16:28:01,what is tourism,"Based on the provided context, tourism is defined as travel for pleasure, and the commercial activity of providing and supporting such travel. It can be domestic or international, and involves people traveling to and staying in places outside their usual environment for leisure or business purposes.",6,77.776,sessions\session_tourism
6ae8e3b5-0677-41e8-adb1-aefd50c3885f,tourism,2025-10-31 16:30:37,what is tourism in india?,"Based on the provided context, tourism in India refers to travel for pleasure and commercial activities related to such travel. India has also emerged as a popular destination for medical tourism, particularly with regards to dentistry procedures.",6,89.761,sessions\session_tourism
a9bdbc99-892a-49f3-8f28-3a4f53a14502,amazon,2025-11-22 19:27:36,what is amazon,Failed to generate response.,3,0.06,sessions\session_amazon
d8dbeac3-14f9-4f2c-aafe-79b69047849f,amazon,2025-11-22 19:27:42,what is amazon,Failed to generate response.,3,0.063,sessions\session_amazon
7548d7fc-8613-4737-9313-59c6300aef5f,amazon,2025-11-22 19:27:51,what is amazon,Failed to generate response.,3,0.082,sessions\session_amazon
bca3f6a5-4cea-4148-9094-3a424033e435,amazon,2025-11-22 19:27:54,what is amazon?,Failed to generate response.,3,0.078,sessions\session_amazon
0e758748-217d-4655-b239-a65f65ff0580,amazon,2025-11-22 19:29:03,what is amazon?,Failed to generate response.,3,1.345,sessions\session_amazon
6839b3bd-5cca-43ef-86ea-6afc184613e9,amazon,2025-11-22 19:29:06,what is amazon?,Failed to generate response.,3,0.037,sessions\session_amazon
f06b4764-a4a0-4f7c-b66c-1e548a740b64,amazon,2025-11-22 19:30:14,what is amazon?,"One of the most common meanings of ""Amazon"" is Amazon (company), an American multinational technology company. It's a leading e-commerce platform that sells a wide variety of products and services online.",3,19.272,sessions\session_amazon
b4d62e90-0181-42eb-b1a0-154cecdcb691,amazon,2025-11-22 19:32:49,what is amazon,"Based on the provided context, Amazon most often refers to an American multinational technology company.",3,17.13,sessions\session_amazon
240bc6f7-92b9-4ba6-a861-3b12ef6f6860,amazon,2025-11-22 19:35:07,what is amazon?,"Based on the provided context, Amazon most often refers to an American multinational technology company.",2,16.097,sessions\session_amazon
11745b70-28e1-4d44-92c7-2c7f117e2ac8,amazon,2025-11-22 19:35:48,where is not amazon?,"Not all of these are places. The Amazon River, Amazon rainforest, and Amazon Basin are locations, but the others are not.",2,10.007,sessions\session_amazon
686b6c5a-860b-4a2e-9b12-be30ea1e99f2,amazon,2025-11-22 19:36:22,why amazon is famous?,"Amazon is famous for being the name of the largest online retailer, Amazon.com, which was founded in 1994 by Jeff Bezos. The company has revolutionized the way people shop and has become a household name.",2,9.201,sessions\session_amazon
665488ac-ea16-4584-94cd-85a1ab755d34,amazon,2025-11-22 19:36:42,who is satyam?,Satyam is not mentioned in the provided context. I don't know.,2,7.791,sessions\session_amazon
6f625272-3274-4ef0-92aa-9cd8f6217481,amazon,2025-11-22 19:37:56,what if amazon company fight with apple?,"I don't know. The context provided doesn't mention anything about Amazon company fighting with Apple, as it only talks about the various meanings of the word ""Amazon"" and its associations with music, businesses, military units, people, places, arts, entertainment, film, and television.",2,9.731,sessions\session_amazon
08d50b2f-01f3-4c8e-bd9c-b64b87b6d814,china,2025-12-21 15:18:06,where is china situated,Failed to generate response. Error: Server disconnected without sending a response.,6,76.711,sessions\session_china
033f3be4-7af4-4734-af37-d9cae4196f19,china,2025-12-21 15:18:40,where is china situated?,Failed to generate response. Error: [WinError 10061] No connection could be made because the target machine actively refused it,0,4.08,sessions\session_china
ee99590e-d9fc-4bc8-9a9d-379cb421fd38,china,2025-12-21 15:18:49,where is china situated?,Failed to generate response. Error: [WinError 10061] No connection could be made because the target machine actively refused it,0,4.066,sessions\session_china
